Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,Predicciones
F,31.0,5,Married,Washington,Quality,Analytical,5.0,2,24,2,4,6.0,type3,3.0,1
F,22.0,2,Single,Springfield,Logistics,Behavioral,3.0,2,72,1,5,5.0,type3,4.0,1
M,27.0,3,Married,Washington,Purchasing,Conceptual,5.0,4,68,0,3,8.0,type3,4.0,1
M,47.0,3,Married,Washington,IT,Conceptual,22.0,3,64,1,3,2.0,type2,4.0,0
M,38.0,2,Single,Franklin,Human Resource Management,Conceptual,10.0,4,41,2,5,4.0,type2,3.0,1
M,39.0,1,Married,Lebanon,Marketing,Directive,10.0,3,70,1,2,6.0,type2,3.0,1
F,60.0,3,Married,Springfield,IT,Directive,27.0,3,45,2,3,6.0,type2,1.0,1
M,27.0,3,Single,Springfield,Operarions,Directive,5.0,2,73,0,2,6.0,type2,3.0,1
M,35.0,3,Single,Franklin,Purchasing,Directive,8.0,3,67,1,2,4.0,type0,3.0,1
F,58.0,3,Single,Franklin,Operarions,Behavioral,31.0,1,62,0,1,3.0,type3,2.0,1
F,58.0,1,Single,Springfield,IT,Behavioral,29.0,2,28,1,2,5.0,type2,2.0,1
F,27.0,3,Married,Springfield,Operarions,Analytical,5.0,4,21,1,1,4.0,type2,4.0,0
M,52.0,3,Single,Springfield,Accounting and Finance,Conceptual,20.0,1,46,1,3,7.0,type3,1.0,0
F,26.0,3,Married,Washington,Production,Behavioral,4.0,1,30,1,3,2.0,type2,3.0,1
F,42.0,2,Married,Lebanon,Logistics,Analytical,16.0,1,55,0,1,4.0,type2,1.0,0
M,37.0,4,Single,Franklin,IT,Conceptual,9.0,2,61,1,5,6.0,type2,2.0,1
M,32.0,3,Married,Washington,Sales,Conceptual,10.0,1,70,1,4,4.0,type2,4.0,0
M,54.0,4,Married,Washington,Logistics,Analytical,22.0,4,35,1,3,6.0,type2,4.0,1
M,28.0,3,Married,Lebanon,Sales,Directive,4.0,1,48,0,3,1.0,type0,1.0,1
F,65.0,5,Married,Clinton,Operarions,Directive,34.0,1,52,2,3,5.0,type3,2.0,1
M,26.0,1,Single,Franklin,R&D,Behavioral,3.0,3,71,0,3,5.0,type2,1.0,1
M,22.0,4,Married,Springfield,Logistics,Directive,3.0,3,74,0,3,8.0,type2,3.0,1
M,58.0,4,Married,Clinton,Human Resource Management,Analytical,34.0,2,61,0,3,6.0,type2,4.0,0
M,31.0,3,Married,Springfield,Quality,Directive,2.0,2,56,1,2,1.0,type3,3.0,1
F,56.0,3,Married,Lebanon,Logistics,Directive,23.0,4,25,0,3,6.0,type2,2.0,0
