Education_Level,Time_since_promotion,Growth_Rate,Travel_Rate,Post_Level,Pay_Scale,Work_Life_balance,Attrition_rate,Ratio_Age_Time_of_service
4,4,33,1,1,7.0,3.0,0.1841,0.09523809523809523
3,4,36,0,3,6.0,4.0,0.067,0.20833333333333334
3,3,51,0,2,8.0,1.0,0.0851,0.46551724137931033
3,3,56,1,3,8.0,1.0,0.0668,0.15384615384615385
1,4,62,1,3,2.0,3.0,0.1827,0.16129032258064516
3,1,21,2,5,9.0,1.0,0.7613,0.35185185185185186
4,1,50,1,1,6.0,2.0,0.2819,0.09523809523809523
3,4,23,1,4,6.0,2.0,0.1169,0.8580918267665256
4,1,49,0,1,9.0,4.0,0.1968,0.325
3,4,34,0,2,5.0,4.0,0.287,0.4666666666666667
5,3,49,1,1,6.0,3.0,0.2735,0.47692307692307695
5,0,25,1,2,5.0,1.0,0.08,0.0
3,1,29,0,2,7.0,1.0,0.2109,0.42857142857142855
4,2,70,1,3,8.0,3.0,0.1696,0.17391304347826086
3,0,74,0,2,9.0,3.0,0.0318,0.0
3,0,32,1,2,6.0,2.0,0.1331,0.0
4,1,58,0,3,4.0,2.0,0.0671,0.5384615384615384
4,1,45,1,3,9.0,2.0,0.1468,0.3
3,1,39,1,2,5.0,1.0,0.0559999999999999,0.2727272727272727
3,4,44,0,4,5.0,1.0,0.6409999999999999,0.21875
4,1,53,0,4,6.0,3.0,0.1095,0.13636363636363635
3,3,53,1,2,6.0,1.0,0.0462,0.24
1,2,30,0,3,7.0,2.0,0.1708,0.5076923076923077
4,4,39,1,3,8.0,1.0,0.2704,0.1935483870967742
5,1,52,0,3,8.0,2.0,0.1742,0.20833333333333334
2,1,58,1,3,3.0,1.0,0.8727,0.3785699235734672
4,1,34,1,3,8.0,4.0,0.2269,0.44680851063829785
3,1,58,0,4,8.0,1.0,0.6272,0.4780380063343891
3,4,60,0,2,9.0,2.0,0.0326,0.3333333333333333
3,1,29,0,4,7.0,3.0,0.273,0.17647058823529413
4,4,55,0,1,8.0,3.0,0.0021,0.20833333333333334
3,1,71,2,3,5.0,3.0,0.0647,0.5185185185185185
1,3,22,0,1,5.0,2.0,0.0447,0.5555555555555556
3,4,66,0,5,7.0,4.0,0.2307,0.6
