Compensation_and_Benefits,Work_Life_balance,Attrition_rate
0,3.0,0.11926066524184006
0,4.0,0.05642737938281058
0,1.0,0.06862033223149133
1,3.0,0.11869629965277838
0,1.0,0.20861325341335046
0,2.0,0.15113883876083128
1,4.0,0.15246018197584016
1,3.0,0.14889966367352794
1,1.0,0.06529583363434367
0,1.0,0.1294027174642821
0,3.0,0.11323646250944222
0,3.0,0.02924662842077799
0,2.0,0.056497837994019175
1,2.0,0.10290780363556636
1,1.0,0.04845454060276012
0,3.0,0.0834158489881469
1,1.0,0.040964161539881486
1,1.0,0.14805299042396988
0,4.0,0.1349032161155542
0,3.0,0.1487638551813132
0,3.0,0.0020881563658581618
1,2.0,0.03978398985052814
1,4.0,0.13615350282377386
1,1.0,0.06256111382902846
1,2.0,0.1312333158808249
1,2.0,0.18461984356550476
0,1.0,0.1467198111680866
0,4.0,0.12478672004390808
1,4.0,0.1491433952478619
1,2.0,0.008594949290126223
0,4.0,0.14824514924385193
0,2.0,0.1053145083559924
1,1.0,0.10870599742271622
0,4.0,0.07834259722309013
1,1.0,0.06990119587031729
1,2.0,0.10647341665024856
0,1.0,0.006677045902510854
0,1.0,0.11233022442934407
1,3.0,0.21476033883278572
0,2.0,0.09409078683324805
1,1.0,0.1079825925392533
1,3.0,0.12093233782351935
1,1.0,0.14367709993971145
0,4.0,0.18592350091825646
0,3.0,0.08833365348620492
1,3.0,0.002581864402059464
0,2.0,0.10324155881191062
1,4.0,0.1153591924571966
0,1.0,0.08573319329136368
0,3.0,0.034889174405464005
1,1.0,0.07110629596109978
1,3.0,0.14780508814720275
0,2.0,0.10564037047661759
0,3.0,0.1873934410378204
0,3.0,0.049789916963880715
0,1.0,0.05386696836382181
0,1.0,0.1011252771234997
0,1.0,0.184542367261727
0,4.0,0.1516863519203106
0,1.0,0.20201446300480402
1,3.0,0.08849764417910568
0,1.0,0.1472786137811438
0,1.0,0.07422398476433477
0,2.0,0.033002995667803445
0,4.0,0.11031410815403608
1,1.0,0.10577969910162009
0,4.0,0.1237631402916975
0,4.0,0.12307379402089122
0,3.0,0.10852565118178774
1,2.0,0.11865584978480392
1,3.0,0.2074078586831421
0,2.0,0.08990900749212147
0,4.0,0.20518162499771625
1,3.0,0.13702928816318913
0,3.0,0.014504166922207778
0,1.0,0.1426118388843777
0,1.0,0.1115464188252731
0,3.0,0.1820114940898537
1,3.0,0.137543410595059
0,2.0,0.003957202767152034
0,2.0,0.19773174576222965
0,2.0,0.14432002004848213
0,3.0,0.0011961252831287413
1,3.0,0.09960765880895214
0,3.0,0.08058503179149969
0,1.0,0.20835642431673404
0,2.0,0.01851536731342209
0,1.0,0.1479979829103922
1,3.0,0.09970624235920629
0,3.0,0.12128642095332676
1,3.0,0.07605800599414826
0,3.0,0.11660961232255987
0,3.0,0.022698141013499134
0,2.0,0.15506882072755965
0,2.0,0.10498757608005997
0,3.0,0.11071195334200494
0,1.0,0.20671684713399924
0,4.0,0.045290448879028784
0,3.0,0.056497837994019175
0,2.0,0.10262085165957058
0,3.0,0.06726164565795112
1,1.0,0.11476974287615357
0,4.0,0.1505071545823921
0,4.0,0.10848051212591149
1,2.0,0.21595019418055997
1,2.0,0.12108988668163392
0,1.0,0.044527003093858375
0,3.0,0.0009973080788990723
0,1.0,0.022698141013499134
1,3.0,0.0871790449658235
1,3.0,0.153401268387466
0,3.0,0.04429720409953005
0,2.0,0.08789518261796454
0,4.0,0.061274625822359687
1,3.0,0.17650492314530936
1,3.0,0.13336148282525204
0,1.0,0.11180841274979757
0,3.0,0.05264154222914508
1,4.0,0.11527521737617766
1,5.0,0.06752153933045862
0,2.0,0.049863745483318136
0,2.0,0.13356435568560962
1,2.0,0.11000352251893605
1,3.0,0.06430182929274825
0,3.0,0.022522255683516915
0,4.0,0.13893887072508682
0,2.0,0.12014028528230312
0,4.0,0.047931903080592086
1,1.0,0.1294027174642821
0,3.0,0.07477703969579813
1,2.0,0.21111017273889277
0,2.0,0.08795008411289382
1,2.0,0.21512908596096728
0,1.0,0.1140488613599566
0,4.0,0.08996293858504525
0,3.0,0.11004795369835808
0,2.0,0.0841556169109547
0,4.0,0.07373031540781425
1,1.0,0.006773429712987014
0,3.0,0.07875881729214332
0,1.0,0.07792494669514366
0,2.0,0.193682586272344
1,1.0,0.0676512921433979
1,3.0,0.21343964412319927
1,3.0,0.008880868495817512
1,3.0,0.07434709801687822
1,2.0,0.13305616423801225
1,2.0,0.0018903007493887372
0,3.0,0.11417648597617096
1,1.0,0.14249245356651022
1,3.0,0.07360659326995107
0,4.0,0.10852565118178774
0,2.0,0.062358798721177146
1,3.0,0.10559388410733309
1,4.0,0.21322080128678178
1,2.0,0.13569529577419986
1,2.0,0.0422129896296143
0,1.0,0.09696085009402261
1,3.0,0.0
0,4.0,0.0637686365345818
1,1.0,0.021019719743109424
0,4.0,0.1239916804601279
1,4.0,0.21486746581298102
1,2.0,0.09486708416644288
0,3.0,0.08011639772476344
1,1.0,0.0805265526552695
0,2.0,0.0866250998185336
1,1.0,0.038674217409601204
1,4.0,0.147473073203202
1,1.0,0.12410571880314483
0,1.0,0.0009973080788990723
0,3.0,0.144203576833527
1,2.0,0.03763649544861718
0,1.0,0.008690306662149564
1,2.0,0.0148727040506079
1,1.0,0.17187554589159726
0,1.0,0.12191234391625096
0,2.0,0.14736202446410426
0,2.0,0.11552691137438419
0,2.0,0.02075316476704965
1,2.0,0.016339048422372524
0,4.0,0.0560038785975218
1,4.0,0.12234004100284421
0,4.0,0.10423626137063376
0,1.0,0.08712377090399735
1,2.0,0.05579164566547459
0,2.0,0.040885767278225196
0,1.0,0.02873907634486477
1,4.0,0.10014871583085112
1,3.0,0.20508294879087446
0,3.0,0.06356813814077689
0,1.0,0.09178125560457354
1,2.0,0.0031725632818350754
1,2.0,0.12523766380977022
0,3.0,0.20856128079516698
1,4.0,0.13556386165669623
0,3.0,0.17337673848305177
0,3.0,0.052133870835621404
1,1.0,0.13254459433551172
0,1.0,0.11665099746939947
1,3.0,0.07666335390941445
0,1.0,0.0061943512213017676
0,3.0,0.10761886272424888
0,4.0,0.1405232482222428
0,4.0,0.12033897388076574
1,3.0,0.09685966057541685
0,4.0,0.0744086091278671
0,3.0,0.15312300662392722
1,4.0,0.10729948407102505
0,3.0,0.143205688192457
0,1.0,0.13808574249553318
0,2.0,0.1378310288237765
0,1.0,0.13199516592686564
0,1.0,0.14843673796364687
0,4.0,0.07976371768865882
0,1.0,0.10802796347050836
