iter	Passed	Remaining
0	182	182628
1	208	104023
2	233	77658
3	256	63794
4	265	52847
5	288	47719
6	310	43990
7	331	41149
8	353	38958
9	372	36880
10	394	35488
11	419	34565
12	441	33494
13	462	32573
14	484	31831
15	506	31179
16	527	30520
17	550	30017
18	571	29494
19	593	29074
20	618	28826
21	642	28560
22	664	28208
23	683	27815
24	704	27490
25	726	27202
26	746	26890
27	767	26638
28	789	26431
29	811	26226
30	835	26104
31	855	25890
32	877	25713
33	928	26367
34	963	26552
35	984	26372
36	1006	26189
37	1028	26024
38	1049	25855
39	1071	25714
40	1093	25567
41	1113	25403
42	1136	25295
43	1157	25143
44	1179	25021
45	1201	24922
46	1224	24821
47	1246	24716
48	1267	24601
49	1289	24499
50	1298	24161
51	1319	24057
52	1341	23961
53	1362	23864
54	1383	23774
55	1406	23704
56	1428	23624
57	1450	23554
58	1472	23491
59	1495	23427
60	1519	23383
61	1540	23307
62	1562	23233
63	1583	23156
64	1605	23094
65	1629	23057
66	1651	22999
67	1671	22910
68	1693	22851
69	1715	22788
70	1739	22760
71	1762	22712
72	1784	22657
73	1806	22601
74	1828	22555
75	1848	22476
76	1869	22409
77	1889	22340
78	1913	22312
79	1936	22274
80	1960	22237
81	1981	22185
82	2002	22128
83	2029	22128
84	2050	22074
85	2070	22008
86	2092	21955
87	2113	21905
88	2136	21866
89	2157	21809
90	2180	21776
91	2202	21733
92	2224	21693
93	2247	21662
94	2270	21630
95	2293	21596
96	2316	21562
97	2338	21527
98	2359	21475
99	2382	21439
100	2405	21412
101	2426	21358
102	2446	21309
103	2469	21278
104	2491	21239
105	2513	21195
106	2534	21154
107	2556	21113
108	2579	21083
109	2604	21069
110	2627	21043
111	2649	21007
112	2670	20959
113	2691	20918
114	2711	20869
115	2733	20832
116	2754	20790
117	2776	20753
118	2798	20716
119	2820	20684
120	2841	20642
121	2862	20602
122	2884	20567
123	2907	20538
124	2927	20494
125	2949	20456
126	2969	20413
127	2989	20368
128	3011	20332
129	3035	20315
130	3057	20283
131	3079	20253
132	3100	20214
133	3120	20167
134	3142	20137
135	3163	20099
136	3185	20069
137	3205	20024
138	3227	19993
139	3251	19972
140	3271	19928
141	3292	19893
142	3314	19864
143	3337	19838
144	3361	19819
145	3394	19856
146	3421	19854
147	3447	19845
148	3474	19843
149	3499	19827
150	3510	19736
151	3537	19733
152	3562	19722
153	3590	19722
154	3615	19710
155	3641	19701
156	3666	19686
157	3691	19673
158	3716	19658
159	3742	19647
160	3768	19640
161	3795	19633
162	3818	19608
163	3840	19579
164	3863	19550
165	3885	19520
166	3908	19493
167	3934	19484
168	3963	19490
169	3991	19485
170	4014	19463
171	4049	19495
172	4065	19432
173	4106	19494
174	4144	19536
175	4178	19560
176	4202	19539
177	4228	19525
178	4255	19518
179	4283	19511
180	4314	19523
181	4341	19510
182	4370	19511
183	4399	19510
184	4427	19503
185	4454	19493
186	4480	19477
187	4504	19455
188	4531	19446
189	4557	19430
190	4583	19413
191	4611	19404
192	4635	19383
193	4660	19361
194	4682	19328
195	4709	19319
196	4737	19308
197	4761	19287
198	4786	19264
199	4813	19255
200	4841	19245
201	4868	19232
202	4895	19218
203	4921	19203
204	4947	19188
205	4973	19171
206	5002	19165
207	5029	19152
208	5057	19140
209	5080	19111
210	5104	19085
211	5125	19050
212	5149	19026
213	5175	19009
214	5200	18986
215	5224	18962
216	5248	18938
217	5273	18916
218	5299	18897
219	5323	18873
220	5346	18845
221	5370	18822
222	5384	18760
223	5409	18740
224	5438	18731
225	5465	18719
226	5497	18721
227	5526	18711
228	5551	18691
229	5574	18663
230	5601	18647
231	5626	18626
232	5651	18602
233	5678	18588
234	5704	18569
235	5729	18546
236	5751	18518
237	5775	18492
238	5800	18469
239	5826	18452
240	5853	18436
241	5879	18415
242	5904	18392
243	5928	18369
244	5953	18344
245	5975	18315
246	5998	18288
247	6024	18268
248	6047	18238
249	6070	18212
250	6094	18187
251	6118	18162
252	6140	18130
253	6164	18105
254	6188	18081
255	6209	18046
256	6235	18025
257	6256	17993
258	6280	17967
259	6300	17933
260	6324	17906
261	6344	17871
262	6366	17840
263	6388	17810
264	6412	17785
265	6434	17755
266	6457	17729
267	6483	17708
268	6504	17676
269	6526	17645
270	6571	17678
271	6607	17684
272	6644	17693
273	6676	17691
274	6699	17661
275	6722	17635
276	6744	17602
277	6766	17574
278	6790	17549
279	6813	17520
280	6837	17494
281	6859	17464
282	6882	17436
283	6903	17404
284	6926	17377
285	6949	17348
286	6972	17321
287	6995	17293
288	7020	17272
289	7044	17246
290	7068	17222
291	7091	17194
292	7114	17167
293	7137	17138
294	7157	17105
295	7182	17082
296	7204	17052
297	7227	17025
298	7253	17006
299	7277	16981
300	7301	16956
301	7324	16929
302	7348	16904
303	7371	16877
304	7395	16851
305	7418	16824
306	7446	16809
307	7469	16781
308	7491	16753
309	7516	16730
310	7540	16705
311	7564	16680
312	7587	16653
313	7611	16629
314	7635	16603
315	7658	16577
316	7683	16553
317	7709	16533
318	7735	16514
319	7759	16489
320	7782	16462
321	7806	16438
322	7829	16409
323	7852	16382
324	7874	16354
325	7889	16311
326	7929	16320
327	7966	16321
328	7993	16302
329	8017	16277
330	8038	16247
331	8060	16218
332	8083	16190
333	8105	16162
334	8129	16137
335	8151	16108
336	8174	16083
337	8199	16059
338	8221	16030
339	8244	16004
340	8268	15978
341	8291	15953
342	8314	15926
343	8338	15901
344	8361	15874
345	8382	15845
346	8406	15818
347	8429	15792
348	8451	15764
349	8474	15738
350	8499	15715
351	8523	15690
352	8548	15667
353	8572	15643
354	8596	15618
355	8619	15591
356	8642	15565
357	8664	15538
358	8687	15512
359	8709	15483
360	8730	15454
361	8753	15427
362	8776	15402
363	8799	15375
364	8868	15428
365	8901	15418
366	8924	15392
367	8948	15368
368	8971	15342
369	8995	15316
370	9017	15288
371	9048	15274
372	9091	15281
373	9126	15276
374	9156	15261
375	9187	15247
376	9211	15222
377	9233	15194
378	9255	15165
379	9279	15139
380	9300	15109
381	9321	15080
382	9343	15051
383	9364	15022
384	9386	14993
385	9409	14966
386	9432	14940
387	9455	14914
388	9476	14885
389	9500	14860
390	9524	14835
391	9547	14808
392	9569	14780
393	9593	14755
394	9614	14726
395	9638	14701
396	9660	14673
397	9682	14645
398	9703	14616
399	9725	14588
400	9747	14560
401	9769	14533
402	9792	14506
403	9813	14476
404	9836	14450
405	9860	14426
406	9883	14401
407	9906	14374
408	9928	14346
409	9949	14317
410	9971	14290
411	9993	14262
412	10015	14234
413	10039	14209
414	10061	14183
415	10087	14161
416	10110	14135
417	10133	14109
418	10157	14084
419	10179	14058
420	10202	14031
421	10224	14003
422	10245	13975
423	10267	13948
424	10292	13924
425	10314	13897
426	10336	13871
427	10358	13844
428	10379	13815
429	10400	13786
430	10422	13759
431	10445	13733
432	10469	13710
433	10493	13685
434	10519	13663
435	10544	13640
436	10568	13615
437	10591	13589
438	10613	13563
439	10636	13537
440	10657	13509
441	10679	13482
442	10700	13454
443	10723	13428
444	10747	13404
445	10770	13378
446	10792	13351
447	10816	13327
448	10842	13305
449	10863	13277
450	10886	13251
451	10909	13226
452	10931	13199
453	10952	13172
454	10976	13148
455	10998	13121
456	11020	13094
457	11042	13067
458	11065	13041
459	11085	13013
460	11106	12985
461	11128	12958
462	11148	12930
463	11171	12904
464	11194	12880
465	11218	12855
466	11240	12829
467	11262	12802
468	11284	12775
469	11306	12749
470	11328	12723
471	11350	12696
472	11371	12670
473	11393	12643
474	11416	12618
475	11441	12595
476	11464	12569
477	11486	12544
478	11509	12519
479	11532	12493
480	11553	12466
481	11577	12441
482	11599	12415
483	11620	12389
484	11645	12366
485	11667	12340
486	11690	12314
487	11712	12288
488	11734	12262
489	11755	12235
490	11777	12209
491	11797	12181
492	11819	12155
493	11840	12128
494	11863	12103
495	11891	12082
496	11913	12057
497	11935	12031
498	11958	12006
499	11982	11982
500	12003	11955
501	12024	11928
502	12047	11903
503	12068	11876
504	12093	11854
505	12115	11828
506	12137	11801
507	12164	11781
508	12186	11755
509	12207	11729
510	12230	11703
511	12253	11678
512	12279	11657
513	12305	11634
514	12325	11607
515	12347	11581
516	12370	11556
517	12393	11532
518	12415	11506
519	12438	11481
520	12460	11456
521	12483	11431
522	12505	11405
523	12530	11382
524	12555	11359
525	12579	11335
526	12603	11312
527	12624	11285
528	12651	11264
529	12675	11240
530	12696	11214
531	12719	11189
532	12742	11164
533	12766	11141
534	12788	11115
535	12809	11089
536	12831	11062
537	12852	11037
538	12875	11012
539	12900	10989
540	12923	10964
541	12946	10940
542	12973	10919
543	13016	10910
544	13053	10898
545	13091	10885
546	13135	10878
547	13159	10853
548	13181	10828
549	13206	10804
550	13229	10780
551	13252	10755
552	13274	10730
553	13296	10704
554	13318	10678
555	13343	10655
556	13366	10630
557	13389	10606
558	13415	10583
559	13439	10559
560	13462	10534
561	13487	10511
562	13510	10486
563	13533	10462
564	13560	10440
565	13591	10421
566	13615	10397
567	13640	10374
568	13662	10349
569	13685	10324
570	13707	10298
571	13731	10274
572	13754	10249
573	13777	10224
574	13800	10200
575	13821	10174
576	13843	10148
577	13868	10125
578	13891	10100
579	13911	10073
580	13934	10049
581	13963	10028
582	13990	10007
583	14016	9984
584	14039	9959
585	14067	9938
586	14094	9916
587	14116	9891
588	14139	9866
589	14161	9841
590	14184	9816
591	14205	9790
592	14227	9765
593	14251	9740
594	14277	9718
595	14299	9692
596	14324	9669
597	14351	9647
598	14374	9623
599	14397	9598
600	14420	9573
601	14443	9548
602	14465	9523
603	14487	9498
604	14509	9473
605	14533	9449
606	14557	9425
607	14582	9401
608	14604	9376
609	14626	9351
610	14651	9328
611	14676	9305
612	14700	9280
613	14722	9255
614	14746	9231
615	14797	9224
616	14829	9205
617	14851	9180
618	14877	9157
619	14899	9131
620	14921	9106
621	14942	9080
622	14966	9056
623	14989	9032
624	15012	9007
625	15034	8982
626	15056	8957
627	15078	8931
628	15100	8906
629	15121	8881
630	15145	8857
631	15167	8831
632	15192	8808
633	15215	8783
634	15237	8758
635	15261	8734
636	15283	8709
637	15305	8684
638	15327	8659
639	15348	8633
640	15370	8608
641	15393	8583
642	15417	8560
643	15440	8535
644	15462	8510
645	15484	8485
646	15507	8461
647	15530	8436
648	15555	8412
649	15576	8387
650	15598	8362
651	15622	8338
652	15648	8315
653	15673	8291
654	15696	8267
655	15720	8243
656	15744	8219
657	15769	8196
658	15795	8173
659	15821	8150
660	15847	8127
661	15871	8103
662	15896	8079
663	15919	8055
664	15942	8031
665	15964	8006
666	15986	7981
667	16010	7957
668	16033	7932
669	16056	7908
670	16080	7884
671	16107	7861
672	16129	7836
673	16151	7812
674	16174	7787
675	16196	7762
676	16218	7737
677	16241	7713
678	16265	7689
679	16285	7663
680	16307	7638
681	16330	7614
682	16354	7590
683	16379	7567
684	16402	7542
685	16426	7518
686	16449	7494
687	16472	7469
688	16495	7445
689	16521	7422
690	16545	7398
691	16568	7374
692	16590	7349
693	16611	7324
694	16632	7299
695	16653	7273
696	16674	7248
697	16696	7224
698	16718	7199
699	16741	7175
700	16764	7150
701	16788	7126
702	16810	7102
703	16832	7077
704	16853	7052
705	16874	7026
706	16899	7003
707	16921	6978
708	16942	6953
709	16965	6929
710	16988	6905
711	17012	6881
712	17036	6857
713	17059	6833
714	17082	6809
715	17106	6785
716	17129	6760
717	17152	6736
718	17176	6713
719	17204	6690
720	17228	6666
721	17251	6642
722	17275	6618
723	17296	6593
724	17321	6570
725	17344	6545
726	17364	6520
727	17388	6496
728	17414	6473
729	17437	6449
730	17460	6425
731	17484	6401
732	17505	6376
733	17527	6352
734	17549	6327
735	17572	6303
736	17595	6278
737	17615	6253
738	17640	6230
739	17687	6214
740	17728	6196
741	17765	6177
742	17796	6155
743	17820	6131
744	17845	6108
745	17868	6083
746	17892	6060
747	17921	6037
748	17945	6013
749	17967	5989
750	17991	5965
751	18013	5940
752	18036	5916
753	18058	5891
754	18081	5867
755	18102	5842
756	18125	5818
757	18147	5793
758	18169	5769
759	18190	5744
760	18212	5719
761	18236	5696
762	18260	5671
763	18284	5648
764	18307	5623
765	18330	5599
766	18353	5575
767	18379	5552
768	18402	5527
769	18425	5503
770	18446	5479
771	18467	5454
772	18492	5430
773	18518	5407
774	18543	5383
775	18567	5359
776	18591	5335
777	18613	5311
778	18638	5287
779	18660	5263
780	18680	5238
781	18706	5214
782	18733	5191
783	18762	5169
784	18790	5146
785	18813	5122
786	18836	5098
787	18860	5074
788	18884	5050
789	18908	5026
790	18936	5003
791	18961	4979
792	18982	4955
793	19006	4931
794	19029	4906
795	19051	4882
796	19074	4858
797	19109	4837
798	19131	4812
799	19157	4789
800	19180	4765
801	19203	4741
802	19226	4716
803	19249	4692
804	19279	4670
805	19308	4647
806	19334	4624
807	19361	4600
808	19390	4577
809	19417	4554
810	19446	4531
811	19473	4508
812	19499	4485
813	19525	4461
814	19551	4438
815	19578	4414
816	19608	4392
817	19635	4368
818	19661	4345
819	19690	4322
820	19718	4299
821	19743	4275
822	19768	4251
823	19796	4228
824	19861	4213
825	19903	4192
826	19933	4169
827	19962	4146
828	19989	4123
829	20017	4099
830	20043	4076
831	20066	4051
832	20093	4028
833	20118	4004
834	20145	3980
835	20171	3957
836	20197	3933
837	20225	3909
